pathway	compound	dose	spearman_rho	p_value	n
Gq	THIQ	high	0.14829560184910917	0.0	65408
Gq	THIQ	low	0.10713560943835404	3.1718909521298683e-166	65408
Gq	THIQ	medium	0.13371489604335546	1.348204445843742e-258	65408
Gq	aMSH	high	0.25381377994523246	0.0	65408
Gq	aMSH	low	0.18076882659320637	0.0	65408
Gq	aMSH	medium	0.19827910853676942	0.0	65408
Gs	THIQ	high	0.16251662974692693	0.0	65408
Gs	THIQ	low	0.2319147839374254	0.0	65408
Gs	THIQ	medium	0.1815446949459929	0.0	65408
Gs	aMSH	high	0.2220833413064426	0.0	65408
Gs	aMSH	low	0.25727102547128855	0.0	65408
Gs	aMSH	medium	0.2252203456447828	0.0	65408
